Epoch 0; car iou: 0.9238065; bicycle iou: 0.43825614; motorcycle iou: 0.54042315; truck iou: 0.25405946; other-vehicle iou: 0.2560597; person iou: 0.44827732; bicyclist iou: 0.7264557; motorcyclist iou: 0.11105839; road iou: 0.8489957; parking iou: 0.31076717; sidewalk iou: 0.6790609; other-ground iou: 0.0026453666; building iou: 0.84999305; fence iou: 0.4459714; vegetation iou: 0.83567107; trunk iou: 0.49587527; terrain iou: 0.7224558; pole iou: 0.5876112; traffic-sign iou: 0.4309473; mean iou: 0.52149427
Epoch 1; car iou: 0.9375536; bicycle iou: 0.43627664; motorcycle iou: 0.6595735; truck iou: 0.31302226; other-vehicle iou: 0.31363145; person iou: 0.4793454; bicyclist iou: 0.8307813; motorcyclist iou: 0.047501598; road iou: 0.90192825; parking iou: 0.16857597; sidewalk iou: 0.73657095; other-ground iou: 0.010108979; building iou: 0.8050377; fence iou: 0.3295252; vegetation iou: 0.85885155; trunk iou: 0.50833297; terrain iou: 0.76158255; pole iou: 0.5637375; traffic-sign iou: 0.4404434; mean iou: 0.5317042
Epoch 2; car iou: 0.9232549; bicycle iou: 0.45201036; motorcycle iou: 0.6300802; truck iou: 0.24865945; other-vehicle iou: 0.24611814; person iou: 0.54923767; bicyclist iou: 0.8041488; motorcyclist iou: 0.2703189; road iou: 0.84825724; parking iou: 0.19794579; sidewalk iou: 0.65952474; other-ground iou: 0.00864353; building iou: 0.7443387; fence iou: 0.40489185; vegetation iou: 0.8258116; trunk iou: 0.47687253; terrain iou: 0.7542806; pole iou: 0.58226293; traffic-sign iou: 0.46421966; mean iou: 0.53109884
Epoch 3; car iou: 0.93439996; bicycle iou: 0.45876133; motorcycle iou: 0.60994387; truck iou: 0.10307313; other-vehicle iou: 0.43449488; person iou: 0.55170876; bicyclist iou: 0.86717254; motorcyclist iou: 0.16656177; road iou: 0.89922386; parking iou: 0.2871361; sidewalk iou: 0.67540824; other-ground iou: 0.015962083; building iou: 0.8587951; fence iou: 0.4858086; vegetation iou: 0.87757635; trunk iou: 0.43156207; terrain iou: 0.7450542; pole iou: 0.5461793; traffic-sign iou: 0.4884366; mean iou: 0.5493294
Epoch 4; car iou: 0.92658544; bicycle iou: 0.46526155; motorcycle iou: 0.61201274; truck iou: 0.44948968; other-vehicle iou: 0.17898296; person iou: 0.64790446; bicyclist iou: 0.8870127; motorcyclist iou: 0.050580665; road iou: 0.93277293; parking iou: 0.41243938; sidewalk iou: 0.76985395; other-ground iou: 0.0058971182; building iou: 0.84179235; fence iou: 0.39683414; vegetation iou: 0.88238513; trunk iou: 0.5538572; terrain iou: 0.76360434; pole iou: 0.6161914; traffic-sign iou: 0.48491293; mean iou: 0.5725458
Epoch 5; car iou: 0.9392873; bicycle iou: 0.50117; motorcycle iou: 0.6541326; truck iou: 0.47273988; other-vehicle iou: 0.39701274; person iou: 0.58171624; bicyclist iou: 0.7061752; motorcyclist iou: 0.030745087; road iou: 0.9246224; parking iou: 0.47297353; sidewalk iou: 0.77939135; other-ground iou: 0.018889481; building iou: 0.8849859; fence iou: 0.5919395; vegetation iou: 0.87532675; trunk iou: 0.6128299; terrain iou: 0.7406368; pole iou: 0.63409615; traffic-sign iou: 0.48971316; mean iou: 0.59517807
Epoch 6; car iou: 0.9466333; bicycle iou: 0.48866332; motorcycle iou: 0.5308456; truck iou: 0.85373336; other-vehicle iou: 0.45769703; person iou: 0.6661396; bicyclist iou: 0.8911954; motorcyclist iou: 0.005567154; road iou: 0.9272695; parking iou: 0.43315408; sidewalk iou: 0.78380084; other-ground iou: 0.020546947; building iou: 0.8890672; fence iou: 0.54817444; vegetation iou: 0.8645166; trunk iou: 0.6173263; terrain iou: 0.7353664; pole iou: 0.6233211; traffic-sign iou: 0.47932795; mean iou: 0.6190708
Epoch 7; car iou: 0.9416842; bicycle iou: 0.5089635; motorcycle iou: 0.71925575; truck iou: 0.77038354; other-vehicle iou: 0.40331948; person iou: 0.6071226; bicyclist iou: 0.8398527; motorcyclist iou: 0.012490872; road iou: 0.93018764; parking iou: 0.2235289; sidewalk iou: 0.77950555; other-ground iou: 0.0053714095; building iou: 0.8833527; fence iou: 0.5500453; vegetation iou: 0.87512106; trunk iou: 0.58876526; terrain iou: 0.7673623; pole iou: 0.6520577; traffic-sign iou: 0.48414278; mean iou: 0.6075007
Epoch 8; car iou: 0.93873644; bicycle iou: 0.47836056; motorcycle iou: 0.6453553; truck iou: 0.67066115; other-vehicle iou: 0.27146164; person iou: 0.6496123; bicyclist iou: 0.8555836; motorcyclist iou: 0.041233156; road iou: 0.92992985; parking iou: 0.52008; sidewalk iou: 0.79988736; other-ground iou: 0.007912654; building iou: 0.90253204; fence iou: 0.6223809; vegetation iou: 0.85912365; trunk iou: 0.6299209; terrain iou: 0.7040084; pole iou: 0.6379401; traffic-sign iou: 0.5127535; mean iou: 0.6146038
Epoch 9; car iou: 0.9487696; bicycle iou: 0.45593825; motorcycle iou: 0.68185896; truck iou: 0.8284409; other-vehicle iou: 0.48520404; person iou: 0.6411415; bicyclist iou: 0.86608535; motorcyclist iou: 0.036590353; road iou: 0.9359847; parking iou: 0.5535406; sidewalk iou: 0.8019144; other-ground iou: 0.024793895; building iou: 0.90753675; fence iou: 0.64152473; vegetation iou: 0.8613804; trunk iou: 0.6334117; terrain iou: 0.7066226; pole iou: 0.6327221; traffic-sign iou: 0.4723599; mean iou: 0.63767475
Epoch 10; car iou: 0.949337; bicycle iou: 0.51412624; motorcycle iou: 0.70561355; truck iou: 0.64082307; other-vehicle iou: 0.50239474; person iou: 0.6539877; bicyclist iou: 0.9005604; motorcyclist iou: 0.072412804; road iou: 0.9381066; parking iou: 0.42530775; sidewalk iou: 0.7862751; other-ground iou: 0.01940892; building iou: 0.89675564; fence iou: 0.6428354; vegetation iou: 0.8549086; trunk iou: 0.5259929; terrain iou: 0.69670385; pole iou: 0.63198847; traffic-sign iou: 0.50146854; mean iou: 0.6241583
